エリア,DB表示名,正式名称（大会資料）,競技,採用,需要ポイント,会場No.,確認メモ
名古屋・東区,IGアリーナ,愛知国際アリーナ,バスケットボール、柔道,◎,大規模会場・最重要,11,
名古屋・南区,NGKアリーナ,名古屋市総合体育館（レインボープール）,水球,◎,笠寺駅・タクシー需要,3,
名古屋・南区,NGKホール,名古屋市総合体育館（レインボーホール）,体操、新体操、トランポリン,◎,大規模観客需要,33,
名古屋・瑞穂区,パロマ瑞穂スタジアム,名古屋市瑞穂公園陸上競技場,陸上、マラソン,◎,大規模・終了集中,5,
名古屋・中区,愛知県庁・名古屋市役所周辺コース,愛知県庁・名古屋市役所周辺コース,競歩,◎,都心交通へ直接影響,6,
名古屋・港区,愛知県武道館,愛知県武道館,柔術、クラッシュ、武術太極拳,◎,市内会場,17,
名古屋・瑞穂区,パロマ瑞穂スポーツパーク 瑞穂スポーツセンター,名古屋市瑞穂スポーツセンター,総合格闘技、レスリング,◎,市内会場,18,
名古屋・守山区,小幡緑地,小幡緑地,マウンテンバイク,◎,アクセス面でタクシー需要期待,22,
名古屋・中村区,名古屋競輪場 BMXコース,名古屋競輪場 BMXコース,BMXレーシング,◎,名駅側への波及,23,
名古屋・瑞穂区,パロマ瑞穂ラグビー場,名古屋市瑞穂公園ラグビー場,サッカー,◎,観客集中,26,
名古屋・港区,CSアセット港サッカー場,名古屋市港サッカー場,サッカー、ラグビー7s,◎,市内会場,28,
名古屋・瑞穂区,パロマ瑞穂アリーナ,名古屋市瑞穂公園体育館,セパタクロー,◎,市内会場,42,
名古屋・港区,ポートメッセなごや 第1展示館,名古屋市国際展示場（ポートメッセなごや）第一展示館,スポーツクライミング,◎,金城ふ頭需要,44,
名古屋・港区,金城ふ頭駅前特設コート,金城ふ頭駅前特設コート,3×3バスケットボール,◎,金城ふ頭需要,12,
名古屋・港区,名古屋金城ふ頭アリーナ,名古屋金城ふ頭アリーナ,スカッシュ,◎,金城ふ頭需要,45,
名古屋・千種区,東山公園テニスセンター,名古屋市東山公園テニスセンター,テニス、ソフトテニス,◎,市内会場,48,
名古屋・千種区,吹上ホール,名古屋市中小企業振興会館,ウエイトリフティング,◎,市中心部に近い,53,
春日井,春日井カントリークラブ 東コース,春日井カントリークラブ 東コース,ゴルフ,◎,ホテル⇔会場の送迎需要を考慮,32,
春日井,春日井市総合体育館,春日井市総合体育館,ハンドボール,○,名古屋北部へ波及,34,
小牧,小牧市スポーツ公園総合体育館,小牧市スポーツ公園総合体育館,バレーボール,○,北部営業圏へ波,51,
一宮,一宮市総合体育館,一宮市総合体育館,バドミントン,○,名駅を交通拠点にする可能性,7,
東海,東海市民体育館,東海市民体育館,カバディ,○,名古屋南部と連続した営業圏,37,
日進,愛知県口論義運動公園,愛知県口論義運動公園,クリケット,○,名古屋東部から近い,19,
豊田,豊田スタジアム,豊田スタジアム,サッカー,○,大規模会場のため採用,25,
豊田,スカイホール豊田,スカイホール豊田,卓球,○,大会規模を考慮,47,
刈谷,ウェーブスタジアム刈谷,ウェーブスタジアム刈谷,サッカー,○,名古屋への交通需要波及,27,
