category,city,road,direction,location,note
高速,名古屋市千種区,名古屋高速東山線,,東山トンネル 四谷IC-春岡IC,
高速,名古屋市中区,名古屋高速東山線,,丸太町JCT付近,
高速,豊山町,名古屋高速小牧線,,豊山IC付近,
高速,名古屋市熱田区,名古屋高速東海線,,六番南付近,
高速,名古屋市中香川区,東名阪道,,名古屋西IC出口付近,千音寺バス停付近
高速,名古屋市緑区,名二環,内回り,有松IC-鳴海IC,
高速,豊田市,猿投グリーンロード,,西広瀬PA,
高速,豊田市,猿投グリーンロード,,トンネル出口,
高速,長久手市,猿投グリーンロード,,長久手IC付近,
国道,名古屋市緑区,1号線,,有松交差点付近,
国道,刈谷市,1号線,,刈谷市今川町付近,
国道,安城市,1号線,,安城警察署付近,
国道,清須市,22号線,,古城付近,
国道,名古屋市南区,23号線,上り,竜宮IC-北頭IC,
国道,名古屋市港区,23号線,下り,築地口IC付近,
市道,名古屋市中区,大須通,東向き,中警察署手前、記念橋,実績・要注意
県道,名古屋市千種区,出来町通,西向き,古出来交差点　吉野家前,実績・要注意
県道,名古屋市中川区,八熊通,東向き,中川警察署手前,実績・要注意
県道,名古屋市中村区,江川線,,円頓寺商店街入口付近,実績・要注意
