snapshot_date,event_type,idProduct,idPerformance,eventCategory,sessionCode,idVenue,date,time,end_time,venue,event_name,event_category_name,session_name,session_info,availability_status,selling_status,is_sellable,source
2026-08-10,competition,8,8,14,BKB01,14,2026-09-10,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB01,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,9,9,14,BKB02,14,2026-09-11,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB02,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,10,10,14,BKB03,14,2026-09-12,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB03,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,11,11,14,BKB04,14,2026-09-13,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB04,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,12,12,14,BKB05,14,2026-09-14,10:00:00,15:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB05,男子予選フェーズ （2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,311,311,32,FBL03,33,2026-09-14,14:00:00,21:00:00,岐阜メモリアルセンター長良川競技場,サッカー,サッカー,サッカー - FBL03,女子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,309,309,32,FBL01,59,2026-09-14,16:00:00,21:30:00,小笠山総合運動公園エコパスタジアム,サッカー,サッカー,サッカー - FBL01,女子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,310,310,32,FBL02,36,2026-09-14,16:00:00,21:30:00,長居陸上競技場,サッカー,サッカー,サッカー - FBL02,女子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,314,314,32,FBL06,43,2026-09-15,15:30:00,21:00:00,名古屋市港サッカー場,サッカー,サッカー,サッカー - FBL06,男子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,313,313,32,FBL05,46,2026-09-15,19:30:00,21:30:00,名古屋市瑞穂公園ラグビー場,サッカー,サッカー,サッカー - FBL05,男子1次ラウンド（1試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,13,13,14,BKB06,14,2026-09-16,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB06,男子準々決勝 （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,137,137,40,MPN01,21,2026-09-16,10:00:00,13:00:00,安城市総合運動公園,近代五種,近代五種,近代五種 - MPN01,女子フェンシング ー シーディングラウンド,SOLD_OUT,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,184,184,55,VVO01,57,2026-09-16,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,バレーボール,バレーボール - VVO01,女子ファーストラウンド（4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,185,185,55,VVO02,55,2026-09-16,10:00:00,21:00:00,岡崎中央総合公園総合体育館,バレーボール,バレーボール,バレーボール - VVO02,女子ファーストラウンド（4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,316,316,32,FBL08,67,2026-09-16,14:00:00,21:00:00,ウェーブスタジアム刈谷,サッカー,サッカー,サッカー - FBL08,男子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,138,138,40,MPN02,21,2026-09-16,14:30:00,17:30:00,安城市総合運動公園,近代五種,近代五種,近代五種 - MPN02,男子フェンシング ー シーディングラウンド,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,315,315,32,FBL07,66,2026-09-16,16:00:00,21:30:00,豊田スタジアム,サッカー,サッカー,サッカー - FBL07,男子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,471,471,23,CKT01,34,2026-09-17,09:00:00,12:00:00,愛知県口論義運動公園,クリケット（T20）,クリケット（T20）,クリケット (T20) - CKT01,女子準々決勝,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,139,139,40,MPN03,21,2026-09-17,10:00:00,11:30:00,安城市総合運動公園,近代五種,近代五種,近代五種 - MPN03,女子準決勝グループA   (フェンシング - ダイレクトエリミネーション ／ オブスタクル ／ 水泳 ／ レーザーラン),SOLD_OUT,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
2026-08-10,competition,186,186,55,VVO03,57,2026-09-17,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,バレーボール,バレーボール - VVO03,女子ファーストラウンド（4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3
