snapshot_date,event_type,idProduct,idPerformance,eventCategory,sessionCode,idVenue,date,time,end_time,venue,event_name,event_category_name,session_name,session_info,availability_status,selling_status,is_sellable,source,venue_match,venue_master_name,venue_pref,venue_address,venue_comp,venue_events,selection_area,db_display_name,selection_grade,demand_point,candidate_status
2026-08-10,competition,8,8,14,BKB01,14,2026-09-10,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB01,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,9,9,14,BKB02,14,2026-09-11,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB02,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,10,10,14,BKB03,14,2026-09-12,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB03,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,11,11,14,BKB04,14,2026-09-13,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB04,男子予選フェーズ （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,12,12,14,BKB05,14,2026-09-14,10:00:00,15:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB05,男子予選フェーズ （2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,314,314,32,FBL06,43,2026-09-15,15:30:00,21:00:00,名古屋市港サッカー場,サッカー,サッカー,サッカー - FBL06,男子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,名古屋市港サッカー場,愛知,〒455-0845 愛知県名古屋市港区野跡４丁目１１−１２,サッカー,サッカー,名古屋・港区,CSアセット港サッカー場,◎,市内会場,selected_master_match
2026-08-10,competition,313,313,32,FBL05,46,2026-09-15,19:30:00,21:30:00,名古屋市瑞穂公園ラグビー場,サッカー,サッカー,サッカー - FBL05,男子1次ラウンド（1試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,名古屋市瑞穂公園ラグビー場,愛知,〒467-0062 愛知県名古屋市瑞穂区山下通５丁目４,サッカー、ラグビー,サッカー、ラグビー７s,名古屋・瑞穂区,パロマ瑞穂ラグビー場,◎,観客集中,selected_master_match
2026-08-10,competition,13,13,14,BKB06,14,2026-09-16,10:00:00,21:15:00,愛知国際アリーナ,バスケットボール,バスケットボール,バスケットボール - BKB06,男子準々決勝 （4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,愛知国際アリーナ,愛知,〒462-0846 愛知県名古屋市北区名城１丁目２−２,バスケットボール、柔道,バスケットボール、柔道,名古屋・東区,IGアリーナ,◎,大規模会場・最重要,selected_master_match
2026-08-10,competition,184,184,55,VVO01,57,2026-09-16,10:00:00,21:20:00,小牧市スポーツ公園総合体育館,バレーボール,バレーボール,バレーボール - VVO01,女子ファーストラウンド（4試合）,LIMITED,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,小牧市スポーツ公園総合体育館,愛知,〒485-0016 愛知県小牧市間々原新田７３７ パークアリーナ内,バレーボール,バレーボール,小牧,小牧市スポーツ公園総合体育館,○,北部営業圏へ波,selected_master_match
2026-08-10,competition,316,316,32,FBL08,67,2026-09-16,14:00:00,21:00:00,ウェーブスタジアム刈谷,サッカー,サッカー,サッカー - FBL08,男子1次ラウンド（2試合）,BUY,BUY,True,https://generalsale.tickets-aichi-nagoya2026.org/getFilteredProductsJSON.th?eventCategoryFather=3,exact,ウェーブスタジアム刈谷,愛知,〒448-0011 愛知県刈谷市築地町荒田１,サッカー,サッカー,刈谷,ウェーブスタジアム刈谷,○,名古屋への交通需要波及,selected_master_match
