date,time,end_time,venue,title,source,status,note,url
2026-01-05,未定,,名古屋市千種区内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-06,未定,,名古屋市東区内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-06,未定,,半田市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,豊田市内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,一宮市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,半田市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,名古屋市中川区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,名古屋市中村区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,名古屋市千種区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,国道１９号,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,春日井市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-07,未定,,豊橋市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-08,未定,,瀬戸市内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-08,未定,,岡崎市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-09,未定,,豊川市内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-09,未定,,みよし市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-09,未定,,名古屋市千種区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-09,未定,,豊橋市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-13,未定,,小牧市内,交通取締予定,愛知県警,confirmed,取締,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-13,未定,,半田市内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-13,未定,,名古屋市中川区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
2026-01-13,未定,,名古屋市千種区内,可搬式オービス予定,愛知県警,confirmed,オービス,https://www.pref.aichi.jp/police/koutsu/ko-shidou/images/torishimariyoteiR8.1.pdf
